iter	Passed	Remaining
0	12	25704
1	26	26858
2	35	23877
3	44	22142
4	58	23273
5	73	24414
6	88	25102
7	103	25751
8	117	25884
9	132	26268
10	141	25646
11	155	25682
12	170	26009
13	185	26259
14	200	26496
15	214	26608
16	229	26816
17	238	26274
18	249	26042
19	264	26228
20	280	26444
21	295	26585
22	310	26649
23	325	26766
24	335	26525
25	346	26309
26	360	26378
27	370	26120
28	380	25851
29	387	25451
30	400	25422
31	410	25221
32	423	25266
33	435	25171
34	449	25246
35	464	25358
36	480	25469
37	489	25288
38	503	25330
39	518	25405
40	532	25457
41	540	25215
42	551	25098
43	566	25171
44	581	25244
45	594	25262
46	609	25307
47	624	25377
48	636	25356
49	647	25242
50	661	25265
51	673	25219
52	688	25278
53	702	25320
54	717	25362
55	727	25241
56	739	25198
57	752	25202
58	768	25285
59	782	25316
60	796	25326
61	806	25221
62	820	25240
63	829	25103
64	842	25081
65	853	25002
66	868	25044
67	882	25078
68	897	25128
69	912	25163
70	927	25187
71	939	25149
72	948	25049
73	963	25064
74	977	25092
75	991	25102
76	1006	25126
77	1020	25138
78	1034	25167
79	1043	25050
80	1058	25076
81	1074	25134
82	1088	25150
83	1096	25016
84	1108	24963
85	1121	24961
86	1135	24978
87	1149	24973
88	1159	24905
89	1170	24846
90	1185	24860
91	1199	24881
92	1214	24895
93	1228	24903
94	1242	24913
95	1250	24797
96	1264	24797
97	1275	24747
98	1289	24763
99	1304	24784
100	1314	24709
101	1327	24709
102	1341	24712
103	1353	24667
104	1361	24579
105	1375	24580
106	1389	24591
107	1404	24602
108	1417	24599
109	1431	24603
110	1441	24536
111	1449	24442
112	1464	24452
113	1473	24370
114	1486	24369
115	1501	24378
116	1514	24374
117	1528	24378
118	1542	24377
119	1552	24326
120	1566	24320
121	1580	24327
122	1594	24334
123	1608	24341
124	1622	24336
125	1631	24268
126	1644	24256
127	1657	24248
128	1671	24245
129	1685	24242
130	1694	24172
131	1707	24169
132	1722	24175
133	1736	24175
134	1746	24128
135	1756	24077
136	1771	24093
137	1786	24100
138	1800	24105
139	1814	24105
140	1823	24038
141	1835	24011
142	1845	23971
143	1858	23958
144	1868	23904
145	1882	23901
146	1896	23906
147	1910	23908
148	1925	23916
149	1939	23919
150	1948	23861
151	1961	23844
152	1975	23846
153	1988	23840
154	2003	23848
155	2017	23843
156	2027	23798
157	2040	23793
158	2050	23743
159	2058	23677
160	2071	23666
161	2085	23664
162	2099	23662
163	2113	23660
164	2127	23660
165	2137	23620
166	2151	23614
167	2159	23548
168	2169	23502
169	2183	23501
170	2197	23502
171	2211	23501
172	2225	23501
173	2240	23507
174	2249	23456
175	2257	23396
176	2271	23398
177	2286	23404
178	2296	23363
179	2310	23361
180	2324	23363
181	2338	23359
182	2352	23358
183	2361	23303
184	2374	23291
185	2388	23296
186	2402	23288
187	2416	23293
188	2430	23293
189	2439	23243
190	2452	23225
191	2465	23213
192	2478	23208
193	2492	23207
194	2502	23164
195	2516	23159
196	2528	23141
197	2542	23142
198	2555	23127
199	2565	23087
200	2579	23083
201	2593	23087
202	2607	23081
203	2622	23084
204	2637	23093
205	2646	23044
206	2655	22997
207	2667	22985
208	2675	22924
209	2689	22921
210	2703	22923
211	2717	22916
212	2731	22915
213	2745	22915
214	2754	22871
215	2768	22865
216	2782	22861
217	2792	22824
218	2802	22789
219	2816	22788
220	2827	22758
221	2841	22759
222	2853	22734
223	2865	22715
224	2879	22714
225	2893	22711
226	2907	22707
227	2921	22707
228	2935	22701
229	2945	22664
230	2955	22633
231	2967	22618
232	2978	22584
233	2990	22570
234	3004	22568
235	3019	22570
236	3028	22526
237	3039	22500
238	3051	22485
239	3064	22474
240	3078	22470
241	3088	22437
242	3102	22428
243	3116	22429
244	3130	22427
245	3143	22416
246	3154	22386
247	3165	22363
248	3180	22363
249	3195	22368
250	3210	22370
251	3224	22367
252	3239	22367
253	3253	22362
254	3260	22314
255	3270	22277
256	3284	22276
257	3299	22280
258	3309	22246
259	3323	22239
260	3337	22236
261	3350	22226
262	3364	22221
263	3373	22185
264	3387	22176
265	3399	22162
266	3407	22118
267	3414	22067
268	3421	22020
269	3434	22003
270	3447	21997
271	3456	21960
272	3466	21931
273	3481	21930
274	3495	21928
275	3509	21922
276	3524	21923
277	3538	21921
278	3553	21919
279	3562	21886
280	3577	21882
281	3591	21882
282	3606	21878
283	3619	21870
284	3633	21864
285	3642	21830
286	3656	21822
287	3667	21804
288	3681	21793
289	3690	21759
290	3703	21752
291	3717	21745
292	3731	21741
293	3746	21741
294	3758	21723
295	3768	21694
296	3781	21685
297	3796	21683
298	3811	21681
299	3820	21649
300	3831	21628
301	3845	21620
302	3858	21610
303	3871	21600
304	3885	21594
305	3895	21566
306	3909	21557
307	3923	21552
308	3937	21548
309	3951	21542
310	3962	21520
311	3973	21495
312	3987	21492
313	4002	21491
314	4016	21486
315	4030	21479
316	4044	21471
317	4053	21442
318	4062	21410
319	4076	21404
320	4091	21402
321	4102	21377
322	4115	21368
323	4130	21364
324	4144	21359
325	4158	21353
326	4166	21315
327	4179	21306
328	4193	21299
329	4207	21291
330	4221	21286
331	4235	21279
332	4245	21253
333	4258	21242
334	4272	21232
335	4286	21226
336	4300	21219
337	4314	21213
338	4323	21186
339	4336	21174
340	4351	21168
341	4361	21144
342	4370	21115
343	4384	21106
344	4397	21094
345	4411	21089
346	4425	21083
347	4440	21081
348	4450	21055
349	4464	21046
350	4478	21038
351	4492	21032
352	4507	21029
353	4520	21021
354	4530	20993
355	4543	20983
356	4558	20979
357	4567	20951
358	4577	20923
359	4591	20915
360	4606	20912
361	4619	20903
362	4634	20898
363	4648	20893
364	4662	20886
365	4672	20860
366	4685	20850
367	4700	20846
368	4716	20845
369	4730	20841
370	4745	20835
371	4759	20829
372	4769	20802
373	4782	20790
374	4796	20785
375	4811	20779
376	4820	20752
377	4831	20730
378	4845	20722
379	4859	20716
380	4867	20684
381	4878	20663
382	4893	20658
383	4907	20653
384	4921	20645
385	4935	20636
386	4949	20629
387	4959	20604
388	4967	20573
389	4976	20542
390	4989	20530
391	5003	20526
392	5018	20521
393	5033	20515
394	5047	20508
395	5061	20502
396	5070	20475
397	5084	20465
398	5098	20458
399	5113	20452
400	5128	20448
401	5142	20441
402	5157	20437
403	5166	20411
404	5179	20398
405	5194	20392
406	5208	20385
407	5222	20379
408	5237	20373
409	5251	20364
410	5261	20341
411	5270	20315
412	5285	20310
413	5299	20302
414	5313	20295
415	5323	20271
416	5332	20243
417	5338	20205
418	5345	20171
419	5353	20139
420	5366	20126
421	5375	20101
422	5384	20072
423	5393	20049
424	5403	20022
425	5409	19988
426	5415	19951
427	5423	19919
428	5430	19886
429	5437	19853
430	5444	19818
431	5452	19791
432	5461	19766
433	5468	19730
434	5479	19712
435	5493	19706
436	5508	19701
437	5523	19697
438	5537	19690
439	5552	19687
440	5566	19677
441	5574	19650
442	5588	19642
443	5602	19635
444	5617	19628
445	5631	19620
446	5641	19601
447	5652	19582
448	5663	19564
449	5671	19534
450	5683	19521
451	5697	19513
452	5705	19485
453	5712	19451
454	5718	19418
455	5725	19384
456	5732	19355
457	5741	19330
458	5748	19299
459	5754	19266
460	5761	19233
461	5767	19201
462	5774	19168
463	5784	19149
464	5792	19121
465	5799	19090
466	5806	19061
467	5820	19053
468	5830	19031
469	5841	19014
470	5854	19006
471	5867	18995
472	5880	18984
473	5890	18962
474	5903	18952
475	5918	18947
476	5931	18939
477	5946	18932
478	5960	18927
479	5970	18905
480	5982	18892
481	5997	18887
482	6011	18882
483	6026	18875
484	6040	18870
485	6055	18864
486	6068	18853
487	6078	18833
488	6092	18826
489	6106	18817
490	6120	18809
491	6134	18801
492	6149	18797
493	6158	18776
494	6166	18749
495	6174	18724
496	6184	18702
497	6198	18694
498	6207	18671
499	6220	18661
500	6235	18656
501	6249	18649
502	6263	18639
503	6271	18615
504	6279	18588
505	6287	18565
506	6299	18551
507	6314	18544
508	6328	18536
509	6342	18530
510	6356	18521
511	6365	18500
512	6373	18475
513	6388	18470
514	6402	18462
515	6413	18443
516	6426	18434
517	6441	18428
518	6455	18420
519	6469	18412
520	6477	18386
521	6489	18373
522	6503	18366
523	6517	18357
524	6527	18339
525	6537	18320
526	6551	18313
527	6566	18305
528	6574	18281
529	6585	18266
530	6599	18258
531	6614	18250
532	6627	18241
533	6641	18234
534	6651	18213
535	6662	18196
536	6672	18178
537	6682	18158
538	6695	18149
539	6709	18141
540	6723	18132
541	6737	18124
542	6752	18118
543	6761	18098
544	6774	18086
545	6787	18075
546	6801	18067
547	6815	18058
548	6825	18038
549	6838	18027
550	6852	18020
551	6866	18011
552	6878	17997
553	6887	17977
554	6902	17970
555	6916	17964
556	6930	17955
557	6945	17947
558	6959	17941
559	6974	17933
560	6983	17912
561	6997	17903
562	7011	17897
563	7025	17887
564	7032	17860
565	7045	17849
566	7059	17841
567	7073	17833
568	7081	17809
569	7092	17793
570	7106	17786
571	7121	17779
572	7135	17770
573	7149	17761
574	7163	17753
575	7176	17743
576	7186	17723
577	7200	17715
578	7216	17709
579	7230	17703
580	7244	17694
581	7259	17686
582	7273	17677
583	7281	17656
584	7291	17635
585	7298	17610
586	7310	17598
587	7324	17589
588	7338	17580
