size, iterations
10, 35
20, 162
30, 425
40, 752
50, 1222
60, 1755
70, 2394
80, 3160
90, 3950
100, 4940
110, 5917
120, 7125
130, 8319
140, 9727
150, 11147
160, 12584
170, 14364
180, 16089
190, 17490
200, 19894
210, 21900
220, 24012
230, 25900
240, 28659
250, 30894
260, 33642
270, 36210
280, 39032
290, 41605
300, 44679
310, 47742
320, 50935
330, 54207
340, 57609
350, 60514
360, 64575
370, 68112
380, 71757
390, 75849
400, 79365
410, 83215
420, 87555
430, 92220
440, 95800
450, 100970
460, 105192
470, 109225
480, 114894
490, 118724
500, 124740
510, 128714
520, 134820
530, 140185
540, 144864
550, 148200
560, 155854
570, 161700
580, 167900
590, 173727
600, 179265
610, 185280
620, 191614
630, 197964
640, 204402
650, 210847
660, 216875
670, 222789
680, 230805
690, 236885
700, 244397
710, 251317
720, 258669
730, 265949
740, 273415
750, 279650
760, 287385
770, 295470
780, 302535
790, 311277
800, 318739
810, 326564
820, 335754
830, 343759
840, 351345
850, 360572
860, 368145
870, 377487
880, 386550
890, 393049
900, 404529
910, 408842
920, 422037
930, 431520
940, 440627
950, 450499
960, 458109
970, 469874
980, 479605
990, 489204
1000, 498275
